"","LTeamID","WTeamID","Season","DayNum","WScore","LScore","WLoc","NumOT","Winner","Loser"
"32689",1175,1288,2010,82,72,62,"H",0,"Morgan St","Delaware St"
"32715",1175,1288,2010,107,68,65,"A",0,"Morgan St","Delaware St"
"32801",1175,1417,2010,55,66,49,"H",0,"UCLA","Delaware St"
"32868",1175,1263,2010,16,59,56,"A",0,"Maine","Delaware St"
"32882",1175,1354,2010,130,70,66,"A",1,"S Carolina St","Delaware St"
"32898",1175,1214,2010,117,64,45,"H",0,"Hampton","Delaware St"
"32954",1175,1250,2010,58,73,66,"A",1,"Lehigh","Delaware St"
"32976",1175,1113,2010,40,76,34,"H",0,"Arizona St","Delaware St"
"33116",1175,1116,2010,35,71,53,"H",0,"Arkansas","Delaware St"
"33177",1175,1271,2010,33,53,50,"H",0,"MD E Shore","Delaware St"
"33205",1176,1407,2010,61,64,46,"H",0,"Troy","Denver"
"33219",1176,1419,2010,75,64,53,"H",0,"ULM","Denver"
"33293",1176,1114,2010,87,69,57,"H",0,"Ark Little Rock","Denver"
"33299",1176,1317,2010,126,63,56,"N",0,"North Texas","Denver"
"33331",1176,1375,2010,115,54,52,"H",0,"South Alabama","Denver"
"33388",1176,1294,2010,56,72,57,"H",0,"N Colorado","Denver"
"33400",1176,1418,2010,73,55,49,"H",0,"Louisiana","Denver"
"33407",1176,1161,2010,33,64,59,"H",0,"Colorado St","Denver"
"33421",1176,1317,2010,103,64,59,"H",0,"North Texas","Denver"
"33471",1176,1320,2010,11,71,65,"A",0,"Northern Iowa","Denver"
"33498",1176,1117,2010,89,73,62,"H",0,"Arkansas St","Denver"
"33506",1176,1339,2010,40,72,62,"H",0,"Portland","Denver"
"33515",1176,1292,2010,101,57,50,"H",0,"MTSU","Denver"
"33550",1177,1195,2010,50,64,61,"H",0,"FL Gulf Coast","DePaul"
"33572",1177,1378,2010,127,58,49,"N",0,"South Florida","DePaul"
"33600",1177,1371,2010,104,79,71,"H",0,"Seton Hall","DePaul"
"33648",1177,1437,2010,65,99,72,"H",0,"Villanova","DePaul"
"33666",1177,1153,2010,114,74,69,"H",0,"Cincinnati","DePaul"
"33702",1177,1323,2010,82,87,77,"H",0,"Notre Dame","DePaul"
"33725",1177,1280,2010,38,76,45,"N",0,"Mississippi St","DePaul"
"33743",1177,1435,2010,33,67,54,"H",0,"Vanderbilt","DePaul"
"33746",1177,1378,2010,120,63,59,"A",0,"South Florida","DePaul"
"33755",1177,1353,2010,117,71,62,"H",0,"Rutgers","DePaul"
"33800",1177,1385,2010,76,67,47,"H",0,"St John's","DePaul"
"33811",1177,1452,2010,85,62,46,"A",0,"West Virginia","DePaul"
"33831",1177,1393,2010,89,59,57,"A",0,"Syracuse","DePaul"
"33852",1177,1353,2010,106,68,64,"A",0,"Rutgers","DePaul"
"33863",1177,1163,2010,96,64,57,"H",0,"Connecticut","DePaul"
"33880",1177,1397,2010,20,57,53,"N",0,"Tennessee","DePaul"
"33904",1177,1338,2010,56,65,52,"H",0,"Pittsburgh","DePaul"
"33923",1177,1207,2010,62,67,50,"A",0,"Georgetown","DePaul"
"33997",1177,1344,2010,73,79,62,"A",0,"Providence","DePaul"
"34004",1177,1266,2010,93,80,69,"H",0,"Marquette","DePaul"
"34048",1177,1110,2010,44,62,57,"A",0,"American Univ","DePaul"
"34069",1177,1385,2010,123,90,82,"A",3,"St John's","DePaul"
"34072",1177,1257,2010,110,68,59,"A",0,"Louisville","DePaul"
"34079",1178,1177,2010,26,68,66,"H",1,"DePaul","Detroit"
"34110",1178,1453,2010,75,74,72,"H",0,"WI Green Bay","Detroit"
"34138",1178,1276,2010,41,75,64,"H",0,"Michigan","Detroit"
"34142",1178,1460,2010,82,61,59,"A",0,"Wright St","Detroit"
"34284",1178,1454,2010,103,71,60,"A",0,"WI Milwaukee","Detroit"
"34288",1178,1453,2010,101,64,62,"A",0,"WI Green Bay","Detroit"
"34328",1178,1434,2010,96,74,70,"H",0,"Valparaiso","Detroit"
"34358",1178,1460,2010,124,69,50,"N",0,"Wright St","Detroit"
"34369",1178,1460,2010,107,70,53,"H",0,"Wright St","Detroit"
"34390",1178,1139,2010,69,64,62,"A",1,"Butler","Detroit"
"34413",1178,1139,2010,94,63,58,"H",0,"Butler","Detroit"
"34468",1178,1227,2010,59,60,56,"H",0,"IL Chicago","Detroit"
"34492",1178,1398,2010,36,70,69,"A",0,"Tennessee St","Detroit"
"34611",1178,1143,2010,9,95,61,"H",0,"California","Detroit"
"34632",1179,1188,2010,32,60,58,"A",0,"SIUE","Drake"
"34657",1179,1416,2010,20,59,50,"N",0,"UCF","Drake"
"34681",1179,1235,2010,15,90,70,"A",0,"Iowa St","Drake"
"34719",1179,1234,2010,47,71,67,"H",0,"Iowa","Drake"
"34750",1179,1361,2010,50,76,73,"A",1,"San Diego St","Drake"
"34805",1179,1133,2010,92,67,65,"H",0,"Bradley","Drake"
"34807",1179,1166,2010,65,73,69,"H",0,"Creighton","Drake"
"34873",1179,1320,2010,123,55,40,"N",0,"Northern Iowa","Drake"
"34906",1179,1283,2010,114,75,59,"H",0,"Missouri St","Drake"
"34909",1179,1229,2010,96,71,68,"H",0,"Illinois St","Drake"
"34944",1179,1455,2010,60,61,38,"H",0,"Wichita St","Drake"
"34952",1179,1320,2010,86,67,51,"H",0,"Northern Iowa","Drake"
"34968",1179,1232,2010,62,60,46,"A",0,"Indiana St","Drake"
"34997",1179,1320,2010,100,57,48,"A",0,"Northern Iowa","Drake"
"35051",1179,1133,2010,57,67,59,"A",0,"Bradley","Drake"
"35068",1179,1191,2010,117,56,53,"A",0,"Evansville","Drake"
"35086",1179,1232,2010,103,76,66,"H",0,"Indiana St","Drake"
"35113",1179,1103,2010,19,63,59,"N",0,"Akron","Drake"
"35118",1179,1237,2010,12,88,82,"A",0,"IUPUI","Drake"
"35232",1180,1437,2010,30,77,58,"H",0,"Villanova","Drexel"
"35233",1180,1348,2010,57,80,79,"A",0,"Rhode Island","Drexel"
"35252",1180,1241,2010,123,77,65,"N",0,"James Madison","Drexel"
"35255",1180,1174,2010,61,62,58,"H",0,"Delaware","Drexel"
"35260",1180,1386,2010,11,77,67,"H",1,"St Joseph's PA","Drexel"
"35345",1180,1165,2010,27,61,54,"A",0,"Cornell","Drexel"
"35349",1180,1456,2010,89,54,51,"H",0,"William & Mary","Drexel"
"35378",1180,1353,2010,18,58,56,"H",0,"Rutgers","Drexel"
"35396",1180,1246,2010,49,88,44,"H",0,"Kentucky","Drexel"
"35407",1180,1330,2010,75,71,48,"H",0,"Old Dominion","Drexel"
"35435",1180,1423,2010,114,75,69,"A",0,"UNC Wilmington","Drexel"
"35504",1180,1433,2010,106,73,54,"H",0,"VCU","Drexel"
"35529",1180,1456,2010,68,73,48,"A",0,"William & Mary","Drexel"
"35552",1180,1310,2010,15,76,69,"H",0,"Niagara","Drexel"
"35637",1180,1220,2010,100,75,64,"H",0,"Hofstra","Drexel"
"35674",1180,1133,2010,110,76,60,"H",0,"Bradley","Drexel"
"35689",1181,1458,2010,30,73,69,"H",0,"Wisconsin","Duke"
"35701",1181,1268,2010,121,79,72,"H",0,"Maryland","Duke"
"35717",1181,1210,2010,68,71,67,"H",0,"Georgia Tech","Duke"
"35733",1181,1207,2010,89,89,77,"H",0,"Georgetown","Duke"
"35761",1181,1301,2010,79,88,74,"H",0,"NC State","Duke"
"35937",1182,1350,2010,65,80,68,"A",0,"Richmond","Duquesne"
"36016",1182,1330,2010,58,63,54,"H",0,"Old Dominion","Duquesne"
"36036",1182,1269,2010,101,84,80,"A",1,"Massachusetts","Duquesne"
"36057",1182,1441,2010,23,83,77,"H",0,"W Carolina","Duquesne"
"36067",1182,1348,2010,79,75,67,"H",0,"Rhode Island","Duquesne"
"36076",1182,1452,2010,37,68,39,"H",0,"West Virginia","Duquesne"
"36079",1182,1387,2010,117,69,59,"H",0,"St Louis","Duquesne"
"36124",1182,1173,2010,68,78,72,"H",1,"Dayton","Duquesne"
"36139",1182,1237,2010,47,73,64,"H",0,"IUPUI","Duquesne"
"36227",1182,1338,2010,30,67,58,"N",2,"Pittsburgh","Duquesne"
"36244",1182,1396,2010,93,76,60,"H",0,"Temple","Duquesne"
"36289",1182,1462,2010,87,86,50,"H",0,"Xavier","Duquesne"
"36411",1182,1382,2010,121,92,80,"H",0,"St Bonaventure","Duquesne"
"36434",1182,1382,2010,127,83,71,"H",0,"St Bonaventure","Duquesne"
"36505",1182,1387,2010,72,79,75,"A",2,"St Louis","Duquesne"
"36508",1183,1444,2010,37,69,58,"A",0,"W Michigan","E Illinois"
"36537",1183,1387,2010,57,60,42,"H",0,"St Louis","E Illinois"
"36624",1183,1293,2010,70,75,59,"H",0,"Murray St","E Illinois"
"36638",1183,1184,2010,73,67,59,"H",0,"E Kentucky","E Illinois"
"36746",1183,1125,2010,26,95,62,"A",0,"Belmont","E Illinois"
"36787",1183,1293,2010,80,60,51,"A",0,"Murray St","E Illinois"
"36904",1183,1287,2010,75,73,51,"H",0,"Morehead St","E Illinois"
"36942",1183,1399,2010,87,75,65,"H",0,"Tennessee Tech","E Illinois"
"36967",1183,1237,2010,16,69,66,"A",0,"IUPUI","E Illinois"
"37013",1183,1293,2010,123,55,51,"N",0,"Murray St","E Illinois"
"37028",1183,1122,2010,33,73,60,"H",0,"Austin Peay","E Illinois"
"37053",1183,1240,2010,89,70,55,"H",0,"Jacksonville St","E Illinois"
"37201",1184,1122,2010,87,80,76,"H",0,"Austin Peay","E Kentucky"
"37213",1184,1240,2010,66,68,65,"H",0,"Jacksonville St","E Kentucky"
"37327",1184,1325,2010,47,74,62,"H",0,"Ohio","E Kentucky"
"37366",1184,1268,2010,40,83,72,"H",0,"Maryland","E Kentucky"
"37393",1184,1183,2010,103,77,54,"H",0,"E Illinois","E Kentucky"
"37404",1184,1293,2010,31,62,60,"H",0,"Murray St","E Kentucky"
"37409",1184,1287,2010,107,77,64,"H",0,"Morehead St","E Kentucky"
"37511",1184,1287,2010,82,69,53,"A",0,"Morehead St","E Kentucky"
"37515",1184,1338,2010,17,71,60,"H",0,"Pittsburgh","E Kentucky"
"37565",1184,1151,2010,58,68,54,"H",0,"Chattanooga","E Kentucky"
"37578",1184,1293,2010,117,88,74,"A",0,"Murray St","E Kentucky"
"37590",1184,1183,2010,120,68,61,"H",0,"E Illinois","E Kentucky"
"37615",1185,1209,2010,47,66,65,"H",0,"Georgia St","E Michigan"
"37666",1185,1141,2010,122,56,55,"A",0,"C Michigan","E Michigan"
"37678",1185,1283,2010,20,75,61,"H",0,"Missouri St","E Michigan"
"37689",1185,1103,2010,129,97,89,"N",2,"Akron","E Michigan"
"37823",1185,1275,2010,89,61,51,"H",0,"Miami OH","E Michigan"
"37898",1185,1154,2010,18,63,56,"N",0,"Citadel","E Michigan"
"37906",1185,1296,2010,75,77,69,"H",0,"N Illinois","E Michigan"
"37911",1185,1138,2010,100,84,67,"H",0,"Buffalo","E Michigan"
"38001",1185,1444,2010,68,61,47,"H",0,"W Michigan","E Michigan"
"38036",1185,1245,2010,94,75,68,"A",0,"Kent","E Michigan"
"38044",1185,1141,2010,79,71,63,"H",0,"C Michigan","E Michigan"
"38054",1185,1178,2010,110,68,66,"H",0,"Detroit","E Michigan"
"38064",1185,1326,2010,33,111,60,"H",0,"Ohio St","E Michigan"
"38093",1185,1359,2010,50,58,56,"A",0,"Samford","E Michigan"
"38111",1185,1132,2010,86,64,61,"A",0,"Bowling Green","E Michigan"
"38166",1186,1294,2010,75,74,71,"A",0,"N Colorado","E Washington"
"38199",1186,1319,2010,110,74,71,"H",1,"Northern Arizona","E Washington"
"38248",1186,1225,2010,26,76,54,"H",0,"Idaho","E Washington"
"38307",1186,1211,2010,56,94,52,"H",0,"Gonzaga","E Washington"
"38332",1186,1170,2010,97,74,67,"H",0,"CS Sacramento","E Washington"
"38369",1186,1370,2010,91,68,62,"H",0,"Seattle","E Washington"
"38374",1186,1340,2010,89,85,77,"A",0,"Portland St","E Washington"
"38389",1186,1451,2010,82,89,67,"H",0,"Weber St","E Washington"
"38429",1186,1140,2010,47,91,34,"H",0,"BYU","E Washington"
"38444",1186,1285,2010,67,79,66,"H",0,"Montana","E Washington"
"38449",1186,1129,2010,22,82,69,"A",0,"Boise St","E Washington"
"38458",1186,1226,2010,81,80,74,"H",0,"Idaho St","E Washington"
"38480",1186,1152,2010,50,62,53,"N",0,"Chicago St","E Washington"
"38483",1186,1305,2010,45,73,70,"H",0,"Nevada","E Washington"
"38546",1186,1340,2010,33,98,75,"H",0,"Portland St","E Washington"
"38550",1186,1451,2010,116,85,57,"A",0,"Weber St","E Washington"
"38564",1186,1294,2010,108,58,54,"H",0,"N Colorado","E Washington"
"38566",1186,1339,2010,12,64,58,"A",0,"Portland","E Washington"
"38589",1186,1319,2010,74,73,69,"A",0,"Northern Arizona","E Washington"
"38616",1186,1238,2010,51,72,67,"N",0,"Jackson St","E Washington"
"38622",1186,1450,2010,14,67,61,"H",0,"Washington St","E Washington"
"38697",1187,1272,2010,72,77,57,"H",0,"Memphis","East Carolina"
"38731",1187,1431,2010,103,100,76,"H",0,"UTEP","East Carolina"
"38746",1187,1144,2010,15,74,68,"H",0,"Campbell","East Carolina"
"38783",1187,1349,2010,89,69,58,"A",0,"Rice","East Carolina"
"38842",1187,1379,2010,82,68,53,"H",0,"Southern Miss","East Carolina"
"38843",1187,1412,2010,65,76,68,"H",0,"UAB","East Carolina"
"38861",1187,1416,2010,92,67,56,"A",0,"UCF","East Carolina"
"38934",1187,1222,2010,128,93,80,"N",0,"Houston","East Carolina"
"38943",1187,1433,2010,57,82,74,"H",0,"VCU","East Carolina"
"38957",1187,1409,2010,117,85,73,"A",0,"Tulsa","East Carolina"
"38965",1187,1150,2010,30,80,68,"H",0,"Charlotte","East Carolina"
"38968",1187,1203,2010,50,84,80,"A",1,"G Washington","East Carolina"
"38999",1187,1222,2010,75,74,55,"A",0,"Houston","East Carolina"
"39012",1187,1448,2010,13,89,58,"N",0,"Wake Forest","East Carolina"
"39033",1187,1267,2010,96,100,49,"H",0,"Marshall","East Carolina"
"39044",1187,1320,2010,19,74,68,"N",0,"Northern Iowa","East Carolina"
"39077",1187,1267,2010,68,83,65,"A",0,"Marshall","East Carolina"
"39085",1187,1155,2010,44,80,63,"A",0,"Clemson","East Carolina"
"39111",1187,1374,2010,114,59,54,"A",0,"SMU","East Carolina"
"39148",1187,1379,2010,124,75,65,"A",0,"Southern Miss","East Carolina"
"39268",1187,1397,2010,18,105,66,"N",0,"Tennessee","East Carolina"
"39287",1188,1377,2010,68,100,76,"H",0,"South Dakota","SIUE"
"39310",1188,1168,2010,110,78,74,"H",0,"CS Fullerton","SIUE"
"39328",1188,1229,2010,13,82,60,"A",0,"Illinois St","SIUE"
"39330",1188,1454,2010,64,83,73,"A",0,"WI Milwaukee","SIUE"
"39331",1188,1252,2010,26,67,64,"A",0,"Lipscomb","SIUE"
"39340",1188,1287,2010,78,66,46,"H",0,"Morehead St","SIUE"
"39351",1188,1369,2010,92,68,49,"H",0,"SE Missouri St","SIUE"
"39355",1188,1228,2010,11,96,69,"H",0,"Illinois","SIUE"
"39360",1188,1282,2010,56,63,54,"A",0,"Missouri KC","SIUE"
"39364",1188,1236,2010,113,78,40,"H",0,"PFW","SIUE"
"39395",1188,1292,2010,41,83,58,"H",0,"MTSU","SIUE"
"39410",1188,1404,2010,84,68,52,"H",0,"TN Martin","SIUE"
"39418",1188,1191,2010,16,76,46,"H",0,"Evansville","SIUE"
"39422",1188,1236,2010,29,69,64,"A",0,"PFW","SIUE"
"39426",1188,1260,2010,48,79,61,"A",0,"Loyola-Chicago","SIUE"
"39442",1188,1293,2010,58,82,51,"A",0,"Murray St","SIUE"
"39461",1188,1252,2010,38,94,74,"H",0,"Lipscomb","SIUE"
"39468",1188,1345,2010,50,90,63,"H",0,"Purdue","SIUE"
"39472",1188,1293,2010,86,86,49,"H",0,"Murray St","SIUE"
"39474",1188,1377,2010,95,91,69,"A",0,"South Dakota","SIUE"
"39478",1188,1244,2010,71,71,60,"H",0,"Kennesaw","SIUE"
"39485",1188,1315,2010,97,57,50,"A",0,"North Dakota","SIUE"
"39496",1188,1123,2010,19,57,47,"H",0,"Ball St","SIUE"
"39529",1189,1202,2010,66,53,48,"A",0,"Furman","Elon"
"39556",1189,1459,2010,68,72,55,"A",0,"Wofford","Elon"
"39570",1189,1298,2010,61,79,73,"H",0,"Navy","Elon"
"39575",1189,1150,2010,14,75,61,"N",0,"Charlotte","Elon"
"39576",1189,1158,2010,101,80,77,"H",0,"Col Charleston","Elon"
"39583",1189,1441,2010,75,83,81,"H",0,"W Carolina","Elon"
"39591",1189,1459,2010,93,72,56,"H",0,"Wofford","Elon"
"39626",1189,1422,2010,87,62,55,"H",0,"UNC Greensboro","Elon"
"39632",1189,1301,2010,45,79,76,"H",0,"NC State","Elon"
"39644",1189,1359,2010,31,55,31,"H",0,"Samford","Elon"
"39648",1189,1448,2010,41,90,50,"H",0,"Wake Forest","Elon"
"39650",1189,1157,2010,15,69,46,"N",0,"Coastal Car","Elon"
"39662",1189,1111,2010,112,58,54,"A",0,"Appalachian St","Elon"
"39689",1189,1441,2010,124,68,57,"N",0,"W Carolina","Elon"
"39692",1189,1172,2010,117,99,96,"A",2,"Davidson","Elon"
"39703",1189,1154,2010,103,77,72,"A",0,"Citadel","Elon"
"39735",1189,1204,2010,115,98,88,"H",0,"Ga Southern","Elon"
"39737",1189,1111,2010,72,89,65,"H",0,"Appalachian St","Elon"
"39739",1189,1423,2010,27,86,56,"A",0,"UNC Wilmington","Elon"
"39740",1189,1463,2010,22,69,65,"N",0,"Yale","Elon"
"39746",1189,1220,2010,21,70,46,"H",0,"Hofstra","Elon"
"39747",1189,1325,2010,57,71,59,"H",0,"Ohio","Elon"
"39787",1189,1359,2010,80,50,49,"A",0,"Samford","Elon"
"39891",1190,1151,2010,15,85,76,"H",0,"Chattanooga","ETSU"
"39955",1190,1273,2010,68,83,78,"H",0,"Mercer","ETSU"
"39978",1190,1397,2010,30,78,66,"H",0,"Tennessee","ETSU"
"39998",1190,1293,2010,40,61,57,"A",0,"Murray St","ETSU"
"40019",1190,1412,2010,32,74,52,"H",0,"UAB","ETSU"
"40059",1190,1287,2010,46,60,58,"H",0,"Morehead St","ETSU"
"40076",1190,1144,2010,109,79,57,"H",0,"Campbell","ETSU"
"40145",1190,1288,2010,17,72,61,"H",0,"Morgan St","ETSU"
"40151",1190,1257,2010,19,69,56,"H",0,"Louisville","ETSU"
"40172",1190,1125,2010,82,100,89,"H",0,"Belmont","ETSU"
"40191",1190,1273,2010,104,82,77,"A",0,"Mercer","ETSU"
"40249",1190,1391,2010,73,54,52,"A",0,"Stetson","ETSU"
"40253",1190,1125,2010,91,74,67,"A",0,"Belmont","ETSU"
"40260",1190,1252,2010,89,85,84,"A",1,"Lipscomb","ETSU"
"40305",1191,1166,2010,62,72,64,"A",0,"Creighton","Evansville"
"40325",1191,1133,2010,82,74,64,"H",0,"Bradley","Evansville"
"40335",1191,1356,2010,103,80,64,"H",0,"S Illinois","Evansville"
"40337",1191,1283,2010,57,74,60,"A",0,"Missouri St","Evansville"
"40375",1191,1232,2010,69,69,55,"H",0,"Indiana St","Evansville"
"40384",1191,1229,2010,72,70,56,"H",0,"Illinois St","Evansville"
"40393",1191,1443,2010,36,63,57,"H",0,"WKU","Evansville"
"40402",1191,1232,2010,90,63,56,"A",0,"Indiana St","Evansville"
"40415",1191,1320,2010,60,65,46,"H",0,"Northern Iowa","Evansville"
"40416",1191,1166,2010,93,84,71,"H",0,"Creighton","Evansville"
"40417",1191,1455,2010,107,76,70,"H",1,"Wichita St","Evansville"
"40466",1191,1122,2010,50,71,68,"H",0,"Austin Peay","Evansville"
"40493",1191,1283,2010,86,76,66,"H",0,"Missouri St","Evansville"
"40518",1191,1356,2010,75,65,57,"A",0,"S Illinois","Evansville"
"40522",1191,1139,2010,19,64,60,"A",0,"Butler","Evansville"
"40588",1191,1179,2010,79,72,65,"A",0,"Drake","Evansville"
"40652",1191,1133,2010,96,83,63,"A",0,"Bradley","Evansville"
"40670",1191,1229,2010,65,82,63,"A",0,"Illinois St","Evansville"
"40757",1191,1275,2010,26,82,58,"H",0,"Miami OH","Evansville"
"40775",1191,1227,2010,110,82,80,"A",0,"IL Chicago","Evansville"
"40784",1191,1283,2010,122,52,46,"N",0,"Missouri St","Evansville"
"40807",1192,1254,2010,122,63,61,"H",0,"LIU Brooklyn","F Dickinson"
"40820",1192,1384,2010,75,54,52,"H",0,"St Francis PA","F Dickinson"
"40825",1192,1148,2010,89,77,67,"H",0,"Central Conn","F Dickinson"
"40832",1192,1427,2010,22,75,61,"N",0,"UT San Antonio","F Dickinson"
"40911",1192,1223,2010,30,92,77,"H",0,"Houston Bap","F Dickinson"
"40912",1192,1248,2010,37,73,57,"H",0,"Lafayette","F Dickinson"
"40950",1192,1254,2010,108,68,62,"H",0,"LIU Brooklyn","F Dickinson"
"40956",1192,1184,2010,21,68,39,"H",0,"E Kentucky","F Dickinson"
"40972",1192,1414,2010,23,75,54,"N",0,"UC Irvine","F Dickinson"
"40998",1192,1389,2010,47,83,68,"A",0,"St Peter's","F Dickinson"
"41004",1192,1119,2010,35,61,40,"A",0,"Army","F Dickinson"
"41010",1192,1291,2010,103,77,67,"A",0,"Mt St Mary's","F Dickinson"
"41026",1192,1255,2010,98,83,81,"A",0,"Longwood","F Dickinson"
"41103",1192,1281,2010,40,87,36,"H",0,"Missouri","F Dickinson"
"41130",1192,1233,2010,51,82,60,"A",0,"Iona","F Dickinson"
"41145",1192,1437,2010,11,84,61,"H",0,"Villanova","F Dickinson"
"41163",1192,1352,2010,73,80,73,"H",0,"Robert Morris","F Dickinson"
"41166",1192,1352,2010,80,65,50,"A",0,"Robert Morris","F Dickinson"
"41189",1192,1346,2010,117,74,65,"A",0,"Quinnipiac","F Dickinson"
"41294",1192,1346,2010,33,73,52,"H",0,"Quinnipiac","F Dickinson"
"41296",1192,1455,2010,13,80,64,"H",0,"Wichita St","F Dickinson"
"41335",1193,1436,2010,110,77,67,"H",0,"Vermont","Fairfield"
"41347",1193,1373,2010,98,69,67,"H",0,"Siena","Fairfield"
"41405",1193,1310,2010,63,77,68,"H",0,"Niagara","Fairfield"
"41506",1193,1351,2010,89,88,80,"A",0,"Rider","Fairfield"
"41522",1193,1268,2010,15,71,42,"H",0,"Maryland","Fairfield"
"41524",1193,1220,2010,28,84,80,"H",0,"Hofstra","Fairfield"
"41669",1193,1373,2010,75,81,73,"A",0,"Siena","Fairfield"
"41670",1193,1348,2010,48,89,84,"H",0,"Rhode Island","Fairfield"
"41802",1193,1373,2010,126,72,65,"H",1,"Siena","Fairfield"
"41857",1193,1233,2010,83,68,58,"H",0,"Iona","Fairfield"
"41884",1194,1443,2010,73,79,72,"H",0,"WKU","FL Atlantic"
"41897",1194,1274,2010,47,87,69,"N",0,"Miami FL","FL Atlantic"
"41904",1194,1407,2010,110,86,80,"H",0,"Troy","FL Atlantic"
"41915",1194,1220,2010,57,67,63,"A",0,"Hofstra","FL Atlantic"
"41917",1194,1208,2010,51,77,60,"H",0,"Georgia","FL Atlantic"
"41918",1194,1443,2010,115,78,69,"A",1,"WKU","FL Atlantic"
"42018",1194,1378,2010,25,78,58,"H",0,"South Florida","FL Atlantic"
"42031",1194,1176,2010,96,73,63,"H",0,"Denver","FL Atlantic"
"42034",1194,1375,2010,124,52,51,"N",0,"South Alabama","FL Atlantic"
"42049",1194,1368,2010,14,90,77,"H",0,"SE Louisiana","FL Atlantic"
"42134",1194,1292,2010,117,66,57,"A",0,"MTSU","FL Atlantic"
"42138",1194,1268,2010,55,72,59,"H",0,"Maryland","FL Atlantic"
"42185",1194,1418,2010,40,81,74,"H",0,"Louisiana","FL Atlantic"
"42197",1194,1375,2010,61,96,93,"A",1,"South Alabama","FL Atlantic"
"42275",1194,1317,2010,94,86,69,"H",0,"North Texas","FL Atlantic"
"42346",1194,1264,2010,21,73,66,"H",0,"Manhattan","FL Atlantic"
"42366",1195,1316,2010,103,68,65,"H",1,"North Florida","FL Gulf Coast"
"42374",1195,1144,2010,96,64,52,"A",0,"Campbell","FL Gulf Coast"
"42375",1195,1341,2010,17,69,54,"H",0,"Prairie View","FL Gulf Coast"
"42401",1195,1239,2010,69,82,58,"A",0,"Jacksonville","FL Gulf Coast"
"42407",1195,1144,2010,73,61,45,"H",0,"Campbell","FL Gulf Coast"
"42424",1195,1274,2010,23,77,58,"H",0,"Miami FL","FL Gulf Coast"
"42428",1195,1239,2010,101,68,62,"H",0,"Jacksonville","FL Gulf Coast"
"42438",1195,1244,2010,81,69,68,"A",0,"Kennesaw","FL Gulf Coast"
"42439",1195,1190,2010,75,73,51,"H",0,"ETSU","FL Gulf Coast"
"42446",1195,1367,2010,115,59,52,"A",0,"SC Upstate","FL Gulf Coast"
"42450",1195,1126,2010,29,67,59,"A",0,"Bethune-Cookman","FL Gulf Coast"
"42452",1195,1374,2010,19,79,62,"H",0,"SMU","FL Gulf Coast"
"42470",1195,1190,2010,94,56,47,"A",0,"ETSU","FL Gulf Coast"
"42471",1195,1273,2010,91,78,72,"H",0,"Mercer","FL Gulf Coast"
"42474",1195,1391,2010,57,72,64,"H",0,"Stetson","FL Gulf Coast"
"42489",1195,1277,2010,11,97,58,"H",0,"Michigan St","FL Gulf Coast"
"42492",1195,1255,2010,33,82,75,"H",0,"Longwood","FL Gulf Coast"
"42520",1195,1252,2010,108,93,75,"A",0,"Lipscomb","FL Gulf Coast"
"42521",1195,1316,2010,67,62,56,"A",0,"North Florida","FL Gulf Coast"
"42527",1195,1252,2010,63,89,79,"H",0,"Lipscomb","FL Gulf Coast"
"42530",1195,1244,2010,89,77,70,"H",0,"Kennesaw","FL Gulf Coast"
"42576",1196,1397,2010,90,61,60,"H",0,"Tennessee","Florida"
"42596",1196,1246,2010,125,74,66,"H",0,"Kentucky","Florida"
"42653",1196,1350,2010,47,56,53,"N",0,"Richmond","Florida"
"42669",1196,1393,2010,38,85,73,"N",0,"Syracuse","Florida"
"42694",1196,1462,2010,103,76,64,"A",0,"Xavier","Florida"
"42705",1196,1246,2010,71,89,77,"A",0,"Kentucky","Florida"
"42721",1196,1375,2010,50,67,66,"A",0,"South Alabama","Florida"
"42739",1196,1280,2010,130,75,69,"N",0,"Mississippi St","Florida"
"42760",1196,1435,2010,120,64,60,"A",0,"Vanderbilt","Florida"
"42780",1196,1208,2010,117,78,76,"H",0,"Georgia","Florida"
"42845",1196,1376,2010,100,77,71,"H",0,"South Carolina","Florida"
"42906",1196,1435,2010,68,95,87,"H",0,"Vanderbilt","Florida"
"43004",1197,1175,2010,105,66,63,"H",0,"Delaware St","Florida A&M"
"43032",1197,1126,2010,33,58,57,"H",0,"Bethune-Cookman","Florida A&M"
"43035",1197,1214,2010,84,66,53,"H",0,"Hampton","Florida A&M"
"43073",1197,1354,2010,91,77,62,"A",0,"S Carolina St","Florida A&M"
"43120",1197,1210,2010,12,100,59,"H",0,"Georgia Tech","Florida A&M"
"43148",1197,1166,2010,15,78,53,"H",0,"Creighton","Florida A&M"
"43177",1197,1331,2010,23,72,51,"N",0,"Oral Roberts","Florida A&M"
"43197",1197,1360,2010,62,74,64,"H",0,"San Diego","Florida A&M"
"43226",1197,1288,2010,96,94,68,"H",0,"Morgan St","Florida A&M"
"43232",1197,1351,2010,22,88,73,"N",0,"Rider","Florida A&M"
"43236",1197,1214,2010,112,70,61,"A",0,"Hampton","Florida A&M"
"43247",1197,1164,2010,98,70,44,"H",0,"Coppin St","Florida A&M"
"43259",1197,1271,2010,75,67,51,"A",0,"MD E Shore","Florida A&M"
"43299",1197,1390,2010,19,99,69,"H",0,"Stanford","Florida A&M"
